"행정구역(시군구)별","성별","연령별","항목","단위","2025 년",
"전국","여자","68세","주민등록연앙인구","","354484.5",
"전국","여자","69세","주민등록연앙인구","","346047.5",
"전국","여자","70세","주민등록연앙인구","","324689.5",
"전국","여자","71세","주민등록연앙인구","","276414",
"전국","여자","72세","주민등록연앙인구","","270791",
"전국","여자","73세","주민등록연앙인구","","244392",
"전국","여자","74세","주민등록연앙인구","","211984.5",
"전국","여자","75세","주민등록연앙인구","","218902",
"전국","여자","76세","주민등록연앙인구","","217673",
"전국","여자","77세","주민등록연앙인구","","216921.5",
"전국","여자","78세","주민등록연앙인구","","194104",
"전국","여자","79세","주민등록연앙인구","","160823",
"전국","여자","80세 이상","주민등록연앙인구","","1597797.5",
"전국","여자","80세","주민등록연앙인구","","156668",
"전국","여자","81세","주민등록연앙인구","","160887",
"전국","여자","82세","주민등록연앙인구","","175438",
"전국","여자","83세","주민등록연앙인구","","171327",
"전국","여자","84세","주민등록연앙인구","","141822.5",
"전국","여자","85세 이상","주민등록연앙인구","","791655",
"전국","여자","85세","주민등록연앙인구","","129762",
"전국","여자","86세","주민등록연앙인구","","119398",
"전국","여자","87세","주민등록연앙인구","","103251",
"전국","여자","88세","주민등록연앙인구","","90107.5",
"전국","여자","89세","주민등록연앙인구","","78782.5",
"전국","여자","90세","주민등록연앙인구","","66003.5",
"전국","여자","91세","주민등록연앙인구","","51656",
"전국","여자","92세","주민등록연앙인구","","40745",
"전국","여자","93세","주민등록연앙인구","","31224.5",
"전국","여자","94세","주민등록연앙인구","","23315",
"전국","여자","95세","주민등록연앙인구","","18031.5",
"전국","여자","96세","주민등록연앙인구","","13328.5",
"전국","여자","97세","주민등록연앙인구","","9441.5",
"전국","여자","98세","주민등록연앙인구","","6028.5",
"전국","여자","99세","주민등록연앙인구","","3696",
"전국","여자","100세 이상","주민등록연앙인구","","6884",
"서울특별시","남자","계","주민등록연앙인구","","4458031",
"서울특별시","남자","0세","주민등록연앙인구","","21340",
"서울특별시","남자","1세","주민등록연앙인구","","19743",
"서울특별시","남자","2세","주민등록연앙인구","","19848.5",
"서울특별시","남자","3세","주민등록연앙인구","","21002.5",
"서울특별시","남자","4세","주민등록연앙인구","","21857.5",
"서울특별시","남자","5세","주민등록연앙인구","","23366",
"서울특별시","남자","6세","주민등록연앙인구","","25324",
"서울특별시","남자","7세","주민등록연앙인구","","26987.5",
"서울특별시","남자","8세","주민등록연앙인구","","29789",
"서울특별시","남자","9세","주민등록연앙인구","","32827.5",
"서울특별시","남자","10세","주민등록연앙인구","","33979.5",
"서울특별시","남자","11세","주민등록연앙인구","","34122.5",
"서울특별시","남자","12세","주민등록연앙인구","","36383.5",
