학교명,주소,위도,경도
경희고등학교,서울특별시 동대문구 경희대로 26,37.59394914,127.054891
경희여자고등학교,서울특별시 동대문구 경희대로 26,37.59394914,127.054891
계남고등학교,경기도 부천시 부흥로 261,37.49619693,126.7726105
계룡고등학교,충청남도 계룡시 두마면 서금암로 89,36.26810412,127.258139
계룡디지텍고등학교,대전광역시 동구 소랑길 64,36.33762549,127.4344749
계림고등학교,경상북도 경주시 용담로 122,35.8663446,129.2087245
계산고등학교,인천광역시 계양구 주부토로 588,37.54718934,126.7297335
계산공업고등학교,인천광역시 계양구 도두리로 47,37.53481361,126.7397141
계산여자고등학교,인천광역시 계양구 계산새로 131,37.53825318,126.7418943
계성고등학교,서울특별시 성북구 길음로 63,37.6074936,127.0201836
계성고등학교,대구광역시 서구 새방로 171,35.87117298,128.5283449
계성여자고등학교,부산광역시 연제구 해맞이로109번길 47,35.18297547,129.0678658
계양고등학교,인천광역시 계양구 계양문화로 177,37.54193113,126.7438981
계원예술고등학교,경기도 성남시 분당구 불정로 100,37.35836192,127.1155061
고금고등학교,전라남도 완도군 고금면 고금로684번길 15,34.40087252,126.8046164
고려고등학교,광주광역시 북구 설죽로 369,35.19253901,126.8982854
고려대학교사범대학부속고등학교,서울특별시 성북구 정릉로 161,37.60783857,127.0028302
고령고등학교,경상북도 고령군 대가야읍 우륵로 63,35.73565191,128.2701005
고림고등학교,경기도 용인시 처인구 고림로 165,37.24717747,127.2195504
고명외식고등학교,서울특별시 성북구 북악산로 870,37.59767468,127.0191869
고산고등학교,전라북도 완주군 고산면 고산천로 551-23,35.97989881,127.20166
고색고등학교,경기도 수원시 권선구 서둔로17번길 32,37.25383535,126.9823466
고성고등학교,강원도 고성군 간성읍 수성로 125,38.3782834,128.4610029
고성고등학교,경상남도 고성군 회화면 배둔서길 42-5,35.05568388,128.3625718
고성중앙고등학교,경상남도 고성군 고성읍 남포로 45,34.96643696,128.3200109
고양고등학교,경기도 고양시 덕양구 삼송로 171,37.6542399,126.8908686
고양국제고등학교,경기도 고양시 일산동구 위시티4로 112,37.68458737,126.8086453
고양동산고등학교,경기도 고양시 덕양구 동세로 20,37.64465312,126.8876033
고양예술고등학교,경기도 고양시 일산서구 덕이로172번길 4-39,37.69741041,126.742303
고양외국어고등학교,경기도 고양시 덕양구 통일로 820,37.69052753,126.8592787
고양일고등학교,경기도 고양시 덕양구 읍내로 13,37.6997244,126.9013355
고운고등학교,세종특별자치시 마음안로 93,36.51022904,127.233078
고잔고등학교,경기도 안산시 단원구 광덕2로 222,37.30878749,126.8353458
